<presentDate>;<deposit1>;<deposit2>;<action>;<reward>;<closeValue>;<LSTM_1[0]>;<LSTM_2[0]>;<ANN_1[0]>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
22.07.2017 0:00:00;7;37,8366;buy;0;69,282;1;1;0;1;0.512499;1;0.662999;0
23.07.2017 0:00:00;7;37,8366;buy;0;69,126;1;1;0;0.412000;0.878300;0.349499;0.344000;1
24.07.2017 0:00:00;7;37,8366;buy;0;69,739;0;1;1;0.471000;0.923199;0.566200;1;1
25.07.2017 0:00:00;7;37,8366;buy;0;69,675;0;1;0;1;0.668999;0.956299;0.435999;1
26.07.2017 0:00:00;7;37,8366;buy;0;69,6431;1;1;0;0.377000;0.216999;0.295999;0.468100;1
27.07.2017 0:00:00;7;37,8366;buy;0;69,332;1;1;0;0.429000;0.521000;0.353000;0.188899;1
28.07.2017 0:00:00;7;37,8366;buy;0;69,8995;0;1;1;0.302999;0.575000;0.619999;1;0
29.07.2017 0:00:00;7;37,8366;buy;0;69,7137;0;1;0;0.976999;0.409999;0.973300;0.3142;0
30.07.2017 0:00:00;7;37,8366;buy;0;69,867;0;1;0;0.348000;0.885500;0.594700;0.653300;1
31.07.2017 0:00:00;7;37,8366;buy;0;70,6895;1;0;0;0.570999;1;0.407299;1;1
01.08.2017 0:00:00;7;37,8366;buy;0;71,1855;1;0;0;1;0.841999;1;0.996000;1
02.08.2017 0:00:00;7;37,8366;buy;0;71,654;1;0;0;0.972000;1;1;0.968499;1
03.08.2017 0:00:00;7;37,8366;buy;0;71,541;1;0;1;1;0.424000;0.731000;0.387;0
04.08.2017 0:00:00;7;37,8366;buy;0;70,5428;1;1;0;0.337000;0.304999;0;0;0
05.08.2017 0:00:00;7;37,8366;buy;0;70,3445;0;1;1;0;0;0.654499;0.301699;0
06.08.2017 0:00:00;7;37,8366;buy;0;70,459;0;1;0;0.408000;0.688000;0.480900;0.614500;1
07.08.2017 0:00:00;7;37,8366;buy;0;70,7755;0;1;1;0.615300;0.884;0.568600;0.816499;1
08.08.2017 0:00:00;7;37,8366;buy;0;70,303;0;1;0;0.777699;0.320000;0.039000;0.027500;0
09.08.2017 0:00:00;6;108,4135;sell;0;70,5769;0;1;0;0.030999;0.204099;0.727999;0.773899;1
10.08.2017 0:00:00;6;108,4135;nothing;0;70,694;0;1;0;0.900000;0.602900;0.301999;0.617100;1
11.08.2017 0:00:00;6;108,4135;nothing;0;70,6997;0;1;0;0.531000;0.601999;1;0.505700;1
12.08.2017 0:00:00;6;108,4135;nothing;0;70,4183;0;1;0;0.457999;0.323000;0.421999;0.218599;0
13.08.2017 0:00:00;5;178,9165;sell;0;70,503;0;1;1;0.203099;0.483999;0.5381;0.584699;1
14.08.2017 0:00:00;5;178,9165;nothing;0;70,5176;0;1;0;0.738900;0.558999;0.062300;0.514600;1
15.08.2017 0:00:00;4;248,9513;sell;1,4210854715202E-14;70,0348;0;1;1;0.412000;0.523099;0.459599;0.017200;0
16.08.2017 0:00:00;4;248,9513;nothing;0;69,8506;0;1;0;0;0;0;0.315799;0
17.08.2017 0:00:00;4;248,9513;nothing;0;69,3968;0;1;0;0.314999;0.246000;0.383000;0.046199;1
18.08.2017 0:00:00;4;248,9513;nothing;0;69,2747;0;1;0;0.054000;0.363;0.469999;0.377899;1
19.08.2017 0:00:00;3;318,2513;sell;1,4210854715202E-14;69,3;0;1;1;0.397999;0;0.410899;0.525300;0
20.08.2017 0:00:00;3;318,2513;nothing;0;69,2805;0;1;0;0.165300;0.642000;0.407399;0.480500;1
21.08.2017 0:00:00;3;318,2513;nothing;0;69,8346;0;1;0;0.832700;0.917000;0.558700;1;1
22.08.2017 0:00:00;3;318,2513;nothing;0;69,431;0;1;0;1;0.528999;0.658000;0.096400;0
23.08.2017 0:00:00;2;387,9518;sell;2,8421709430404E-14;69,7005;0;1;1;0.125;0.456999;0.616;0.769500;1
24.08.2017 0:00:00;2;387,9518;nothing;0;69,723;0;1;0;0.736999;0.624000;0.724000;0.522499;1
25.08.2017 0:00:00;2;387,9518;nothing;0;69,765;0;1;0;0.564999;0.474999;0.423999;0.542000;0
26.08.2017 0:00:00;2;387,9518;nothing;0;69,641;0;1;0;0.554000;0.399000;0.613500;0.376000;0
27.08.2017 0:00:00;2;387,9518;nothing;0;69,8761;0;1;0;0.469999;0.697000;0.386499;0.735099;1
28.08.2017 0:00:00;2;387,9518;nothing;0;69,9714;0;1;0;0.564000;0.585999;0.575000;0.595300;1
29.08.2017 0:00:00;2;387,9518;nothing;0;70,3767;0;1;0;0.609999;1;0.829999;0.905299;1
30.08.2017 0:00:00;0;528,7052;exit;70,3767;
